slug,file_title,author_or_source,license,commons_page_url
montijo,"File:Iglesia parroquial de San Pedro, Montijo (Badajoz).jpg",Alonso de Mendoza,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Iglesia_parroquial_de_San_Pedro,_Montijo_(Badajoz).jpg"
sant-just-desvern,"File:Església, ajuntament, Can Ginestar, Cases Soler Basols i Can Modolell P1100277.JPG",Pere López,CC BY-SA 3.0,"https://commons.wikimedia.org/wiki/File:Església,_ajuntament,_Can_Ginestar,_Cases_Soler_Basols_i_Can_Modolell_P1100277.JPG"
puerto-lumbreras,File:Mundial enduro Puerto Lumbreras.jpg,Mudomaan,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Mundial_enduro_Puerto_Lumbreras.jpg
barbate,File:Enebrobarbate.jpg,Jatekas,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Enebrobarbate.jpg
santa-perpetua-de-mogoda,File:Cementiri de Santa Perpètua de Mogoda - P1080115.jpg,Pere López Brosa,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Cementiri_de_Santa_Perpètua_de_Mogoda_-_P1080115.jpg
cartama,File:Cártama (53943412017).jpg,Manel Zaera,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Cártama_(53943412017).jpg
las-gabias,"File:Calle Lepanto, en Gabia Chica (Las Gabias, Granada).jpg",Lopezsuarez,CC0,"https://commons.wikimedia.org/wiki/File:Calle_Lepanto,_en_Gabia_Chica_(Las_Gabias,_Granada).jpg"
amorebieta-etxano,File:Zornotza 4.jpg,Adam Cli,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Zornotza_4.jpg
ayamonte,File:Ayamonte (Huelva) (Spain) (41000424600).jpg,Jose A.,CC BY 2.0,https://commons.wikimedia.org/wiki/File:Ayamonte_(Huelva)_(Spain)_(41000424600).jpg
albolote,File:Ayuntamiento de Albolote (Granada).jpg,Lopezsuarez,CC0,https://commons.wikimedia.org/wiki/File:Ayuntamiento_de_Albolote_(Granada).jpg
l-eliana,File:Cabuts de l'Eliana a la Biblioteca juliol 2019.jpg,Bgasco,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Cabuts_de_l'Eliana_a_la_Biblioteca_juliol_2019.jpg
montornes-del-valles,File:Montornès del Vallès i el turó del Montcau - P1100454.jpg,Pere López Brosa,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Montornès_del_Vallès_i_el_turó_del_Montcau_-_P1100454.jpg
zafra,File:Zafra - 021 (30588595842) - Plaza de toros.jpg,Luis Rogelio HM,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Zafra_-_021_(30588595842)_-_Plaza_de_toros.jpg
parets-del-valles,File:09 Can Guasch (Parets del Vallès).JPG,Enfo,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:09_Can_Guasch_(Parets_del_Vallès).JPG
betera,File:Calvari de Bétera 02.JPG,B25es,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Calvari_de_Bétera_02.JPG
segovia,"File:Acueducto, Segovia, España, 2024-06-14, DD 17.jpg",Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Acueducto,_Segovia,_España,_2024-06-14,_DD_17.jpg"
fuerteventura-pjto-rosario,File:20211124.Puerto del Rosario-Fuerteventura.-013.jpg,"Bybbisch94, Christian Gebhardt",CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:20211124.Puerto_del_Rosario-Fuerteventura.-013.jpg
